,id,chave,rodada,equipe_mandante,equipe_visitante,is_finalizado,jogo_ficticio,hora_realizacao,jogo_id,data_realizacao,escalacao_equipe_mandante_id,escalacao_equipe_visitante_id,placar_oficial_mandante,placar_oficial_visitante,placar_penaltis_mandante,placar_penaltis_visitante,empate,suspenso,cancelado,wo,decisivo,publico_total,renda,renda_moeda,observacao,publico_pagante,ordem_na_chave,fase,sede,vencedor_jogo
47,8471,,5,Juventude,Internacional,True,False,19:00:00,287633,2022-05-08,478731,478732,1,1,,,True,False,False,False,False,7341,272305.0,REAL,,6752,,101,174,
48,8472,,5,Fortaleza,Sao Paulo,True,False,19:00:00,287634,2022-05-08,478733,478734,1,1,,,True,False,False,False,False,,365901.0,REAL,,25518,,101,99,
49,8473,,5,Avai,Coritiba,True,False,20:00:00,287636,2022-05-09,478736,478737,2,1,,,False,False,False,False,False,8548,257997.0,REAL,,7907,,101,100,36
50,8474,,6,CAM,Atletico-GO,True,False,19:00:00,287678,2022-05-14,478868,478869,2,0,,,False,False,False,False,False,20749,572368.0,REAL,,17010,,101,39,15
51,8475,,6,Fluminense,Athletico-PR,True,False,21:00:00,287679,2022-05-14,478872,478873,2,1,,,False,False,False,False,False,4722,98220.0,REAL,,4009,,101,25,20
52,8476,,6,Sao Paulo,Cuiaba,True,False,16:00:00,287680,2022-05-15,478874,478875,2,1,,,False,False,False,False,False,,1134642.0,REAL,,27511,,101,16,4
53,8477,,6,Palmeiras,Bragantino,True,False,16:30:00,287681,2022-05-14,478864,478865,2,0,,,False,False,False,False,False,,2267246.0,REAL,,36123,,101,11,5
54,8478,,6,Botafogo,Fortaleza,True,False,18:00:00,287682,2022-05-15,478878,478879,3,1,,,False,False,False,False,False,23616,577386.0,REAL,,21782,,101,31,18
55,8479,,6,Internacional,Corinthians,True,False,19:00:00,287683,2022-05-14,478870,478871,2,2,,,True,False,False,False,False,,953295.0,REAL,,18482,,101,53,
56,8480,,6,Ceara,Flamengo,True,False,16:30:00,287684,2022-05-14,478867,478866,2,2,,,True,False,False,False,False,52139,2446271.0,REAL,,52003,,101,99,
57,8481,,6,Goias,Santos,True,False,19:00:00,287685,2022-05-15,478882,478883,1,0,,,False,False,False,False,False,11070,307075.0,REAL,,9538,,101,177,32
58,8482,,6,Avai,Juventude,True,False,18:00:00,287686,2022-05-15,478880,478881,1,2,,,False,False,False,False,False,9355,226093.0,REAL,,8449,,101,100,492
59,8483,,6,Coritiba,America-MG,True,False,17:30:00,287687,2022-05-15,478876,478877,1,0,,,False,False,False,False,False,,255450.0,REAL,,19040,,101,111,40
60,8484,,7,America-MG,Botafogo,True,False,21:00:00,287698,2022-05-21,478961,478963,1,1,,,True,False,False,False,False,4236,255525.0,REAL,,3233,,101,39,
61,8485,,7,Flamengo,Goias,True,False,16:30:00,287699,2022-05-21,478950,478951,1,0,,,False,False,False,False,False,51692,1975192.0,REAL,,47680,,101,28,17
62,8486,,7,Bragantino,CAM,True,False,20:30:00,287700,2022-05-11,478936,478937,1,1,,,True,False,False,False,False,,113165.0,REAL,,5222,,101,4,
63,8487,,7,Corinthians,Sao Paulo,True,False,16:00:00,287701,2022-05-22,478967,478966,1,1,,,True,False,False,False,False,,3688132.0,REAL,,44672,,101,6,
64,8488,,7,Santos,Ceara,True,False,18:30:00,287702,2022-05-21,478956,478957,0,0,,,True,False,False,False,False,,1038325.0,REAL,,25797,,101,10,
65,8489,,7,Juventude,Palmeiras,True,False,19:00:00,287703,2022-05-21,478958,478959,0,3,,,False,False,False,False,False,5513,199290.0,REAL,,4973,,101,174,5
66,8490,,7,Fortaleza,Fluminense,True,False,16:00:00,287704,2022-05-22,478968,478969,0,1,,,False,False,False,False,False,,424378.0,REAL,,37507,,101,99,20
67,8491,,7,Atletico-GO,Coritiba,True,False,16:30:00,287705,2022-05-21,478952,478953,2,0,,,False,False,False,False,False,4676,46590.0,REAL,,3650,,101,113,47
68,8492,,7,Cuiaba,Internacional,True,False,21:00:00,287706,2022-05-21,478964,478965,1,1,,,True,False,False,False,False,7968,311865.0,REAL,,7334,,101,116,
